"YEAR","START_DATE","END_DATE","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2008,"2008-01-01","2008-12-31","ACT","All regions","All ages","mobile_phone_use","Police issued","2060","unknown","unknown"
2008,"2008-01-01","2008-12-31","NSW","All regions","All ages","mobile_phone_use","Police issued","40882","unknown","unknown"
2008,"2008-01-01","2008-12-31","NT","All regions","All ages","mobile_phone_use","Police issued","671","unknown","unknown"
2008,"2008-01-01","2008-12-31","QLD","All regions","All ages","mobile_phone_use","Police issued","28499","unknown","unknown"
2008,"2008-01-01","2008-12-31","SA","All regions","All ages","mobile_phone_use","Police issued","11411","unknown","unknown"
2008,"2008-01-01","2008-12-31","TAS","All regions","All ages","mobile_phone_use","Police issued","6780","unknown","unknown"
2008,"2008-01-01","2008-12-31","VIC","All regions","All ages","mobile_phone_use","Police issued","49739","unknown","unknown"
2008,"2008-01-01","2008-12-31","WA","All regions","All ages","mobile_phone_use","Police issued","15957","unknown","unknown"
2009,"2009-01-01","2009-12-31","ACT","All regions","All ages","mobile_phone_use","Police issued","1890","unknown","unknown"
2009,"2009-01-01","2009-12-31","NSW","All regions","All ages","mobile_phone_use","Police issued","41167","unknown","unknown"
2009,"2009-01-01","2009-12-31","NT","All regions","All ages","mobile_phone_use","Police issued","1106","unknown","unknown"
2009,"2009-01-01","2009-12-31","QLD","All regions","All ages","mobile_phone_use","Police issued","33352","unknown","unknown"
2009,"2009-01-01","2009-12-31","SA","All regions","All ages","mobile_phone_use","Police issued","14167","unknown","unknown"
2009,"2009-01-01","2009-12-31","TAS","All regions","All ages","mobile_phone_use","Police issued","5665","unknown","unknown"
2009,"2009-01-01","2009-12-31","VIC","All regions","All ages","mobile_phone_use","Police issued","53101","unknown","unknown"
2009,"2009-01-01","2009-12-31","WA","All regions","All ages","mobile_phone_use","Police issued","14804","unknown","unknown"
2010,"2010-01-01","2010-12-31","ACT","All regions","All ages","mobile_phone_use","Police issued","2407","unknown","unknown"
2010,"2010-01-01","2010-12-31","NSW","All regions","All ages","mobile_phone_use","Police issued","51104","unknown","unknown"
2010,"2010-01-01","2010-12-31","NT","All regions","All ages","mobile_phone_use","Police issued","998","unknown","unknown"
2010,"2010-01-01","2010-12-31","QLD","All regions","All ages","mobile_phone_use","Police issued","33013","unknown","unknown"
2010,"2010-01-01","2010-12-31","SA","All regions","All ages","mobile_phone_use","Police issued","14139","unknown","unknown"
2010,"2010-01-01","2010-12-31","TAS","All regions","All ages","mobile_phone_use","Police issued","3735","unknown","unknown"
2010,"2010-01-01","2010-12-31","VIC","All regions","All ages","mobile_phone_use","Police issued","54728","unknown","unknown"
2010,"2010-01-01","2010-12-31","WA","All regions","All ages","mobile_phone_use","Police issued","11705","unknown","unknown"
2011,"2011-01-01","2011-12-31","ACT","All regions","All ages","mobile_phone_use","Police issued","2284","unknown","unknown"
2011,"2011-01-01","2011-12-31","NSW","All regions","All ages","mobile_phone_use","Police issued","46714","unknown","unknown"
2011,"2011-01-01","2011-12-31","NT","All regions","All ages","mobile_phone_use","Police issued","729","unknown","unknown"
2011,"2011-01-01","2011-12-31","QLD","All regions","All ages","mobile_phone_use","Police issued","30389","unknown","unknown"
2011,"2011-01-01","2011-12-31","SA","All regions","All ages","mobile_phone_use","Police issued","13402","unknown","unknown"
2011,"2011-01-01","2011-12-31","TAS","All regions","All ages","mobile_phone_use","Police issued","3241","unknown","unknown"
2011,"2011-01-01","2011-12-31","VIC","All regions","All ages","mobile_phone_use","Police issued","52630","unknown","unknown"
2011,"2011-01-01","2011-12-31","WA","All regions","All ages","mobile_phone_use","Police issued","10485","unknown","unknown"
2012,"2012-01-01","2012-12-31","ACT","All regions","All ages","mobile_phone_use","Police issued","1722","unknown","unknown"
2012,"2012-01-01","2012-12-31","NSW","All regions","All ages","mobile_phone_use","Police issued","42900","unknown","unknown"
2012,"2012-01-01","2012-12-31","NT","All regions","All ages","mobile_phone_use","Police issued","722","unknown","unknown"
2012,"2012-01-01","2012-12-31","QLD","All regions","All ages","mobile_phone_use","Police issued","28548","unknown","unknown"
2012,"2012-01-01","2012-12-31","SA","All regions","All ages","mobile_phone_use","Police issued","11623","unknown","unknown"
2012,"2012-01-01","2012-12-31","TAS","All regions","All ages","mobile_phone_use","Police issued","2141","unknown","unknown"
2012,"2012-01-01","2012-12-31","VIC","All regions","All ages","mobile_phone_use","Police issued","61497","unknown","unknown"
2012,"2012-01-01","2012-12-31","WA","All regions","All ages","mobile_phone_use","Police issued","17822","unknown","unknown"
2013,"2013-01-01","2013-12-31","ACT","All regions","All ages","mobile_phone_use","Police issued","1356","unknown","unknown"
2013,"2013-01-01","2013-12-31","NSW","All regions","All ages","mobile_phone_use","Police issued","33514","unknown","unknown"
2013,"2013-01-01","2013-12-31","NT","All regions","All ages","mobile_phone_use","Police issued","1058","unknown","unknown"
2013,"2013-01-01","2013-12-31","QLD","All regions","All ages","mobile_phone_use","Police issued","27998","unknown","unknown"
2013,"2013-01-01","2013-12-31","SA","All regions","All ages","mobile_phone_use","Police issued","12560","unknown","unknown"
2013,"2013-01-01","2013-12-31","TAS","All regions","All ages","mobile_phone_use","Police issued","2914","unknown","unknown"
2013,"2013-01-01","2013-12-31","VIC","All regions","All ages","mobile_phone_use","Police issued","52452","unknown","unknown"
2013,"2013-01-01","2013-12-31","WA","All regions","All ages","mobile_phone_use","Police issued","14563","unknown","unknown"
2014,"2014-01-01","2014-12-31","ACT","All regions","All ages","mobile_phone_use","Police issued","1115","unknown","unknown"
2014,"2014-01-01","2014-12-31","NSW","All regions","All ages","mobile_phone_use","Police issued","34952","unknown","unknown"
2014,"2014-01-01","2014-12-31","NT","All regions","All ages","mobile_phone_use","Police issued","517","unknown","unknown"
2014,"2014-01-01","2014-12-31","QLD","All regions","All ages","mobile_phone_use","Police issued","25068","unknown","unknown"
2014,"2014-01-01","2014-12-31","SA","All regions","All ages","mobile_phone_use","Police issued","11886","unknown","unknown"
2014,"2014-01-01","2014-12-31","TAS","All regions","All ages","mobile_phone_use","Police issued","3256","unknown","unknown"
2014,"2014-01-01","2014-12-31","VIC","All regions","All ages","mobile_phone_use","Police issued","41448","unknown","unknown"
2014,"2014-01-01","2014-12-31","WA","All regions","All ages","mobile_phone_use","Police issued","14377","unknown","unknown"
2015,"2015-01-01","2015-12-31","ACT","All regions","All ages","mobile_phone_use","Police issued","873","unknown","unknown"
2015,"2015-01-01","2015-12-31","NSW","All regions","All ages","mobile_phone_use","Police issued","37989","unknown","unknown"
2015,"2015-01-01","2015-12-31","NT","All regions","All ages","mobile_phone_use","Police issued","492","unknown","unknown"
2015,"2015-01-01","2015-12-31","QLD","All regions","All ages","mobile_phone_use","Police issued","23048","unknown","unknown"
2015,"2015-01-01","2015-12-31","SA","All regions","All ages","mobile_phone_use","Police issued","12446","unknown","unknown"
2015,"2015-01-01","2015-12-31","TAS","All regions","All ages","mobile_phone_use","Police issued","3273","unknown","unknown"
2015,"2015-01-01","2015-12-31","VIC","All regions","All ages","mobile_phone_use","Police issued","33598","unknown","unknown"
2015,"2015-01-01","2015-12-31","WA","All regions","All ages","mobile_phone_use","Police issued","16666","unknown","unknown"
2016,"2016-01-01","2016-12-31","ACT","All regions","All ages","mobile_phone_use","Police issued","1120","unknown","unknown"
2016,"2016-01-01","2016-12-31","NSW","All regions","All ages","mobile_phone_use","Police issued","38918","unknown","unknown"
2016,"2016-01-01","2016-12-31","NT","All regions","All ages","mobile_phone_use","Police issued","535","unknown","unknown"
2016,"2016-01-01","2016-12-31","QLD","All regions","All ages","mobile_phone_use","Police issued","17213","unknown","unknown"
2016,"2016-01-01","2016-12-31","SA","All regions","All ages","mobile_phone_use","Police issued","11153","unknown","unknown"
2016,"2016-01-01","2016-12-31","TAS","All regions","All ages","mobile_phone_use","Police issued","3191","unknown","unknown"
