"YEAR","JURISDICTION","AGE_GROUP","DETECTION_METHOD","FINES","ARRESTS","CHARGES"
2008,"ACT","All ages","Police issued",2060,"unknown","unknown"
2008,"NSW","All ages","Police issued",40882,"unknown","unknown"
2008,"NT","All ages","Police issued",671,"unknown","unknown"
2008,"QLD","All ages","Police issued",28499,"unknown","unknown"
2008,"SA","All ages","Police issued",11411,"unknown","unknown"
2008,"TAS","All ages","Police issued",6780,"unknown","unknown"
2008,"VIC","All ages","Police issued",49739,"unknown","unknown"
2008,"WA","All ages","Police issued",15957,"unknown","unknown"
2009,"ACT","All ages","Police issued",1890,"unknown","unknown"
2009,"NSW","All ages","Police issued",41167,"unknown","unknown"
2009,"NT","All ages","Police issued",1106,"unknown","unknown"
2009,"QLD","All ages","Police issued",33352,"unknown","unknown"
2009,"SA","All ages","Police issued",14167,"unknown","unknown"
2009,"TAS","All ages","Police issued",5665,"unknown","unknown"
2009,"VIC","All ages","Police issued",53101,"unknown","unknown"
2009,"WA","All ages","Police issued",14804,"unknown","unknown"
2010,"ACT","All ages","Police issued",2407,"unknown","unknown"
2010,"NSW","All ages","Police issued",51104,"unknown","unknown"
2010,"NT","All ages","Police issued",998,"unknown","unknown"
2010,"QLD","All ages","Police issued",33013,"unknown","unknown"
2010,"SA","All ages","Police issued",14139,"unknown","unknown"
2010,"TAS","All ages","Police issued",3735,"unknown","unknown"
2010,"VIC","All ages","Police issued",54728,"unknown","unknown"
2010,"WA","All ages","Police issued",11705,"unknown","unknown"
2011,"ACT","All ages","Police issued",2284,"unknown","unknown"
2011,"NSW","All ages","Police issued",46714,"unknown","unknown"
2011,"NT","All ages","Police issued",729,"unknown","unknown"
2011,"QLD","All ages","Police issued",30389,"unknown","unknown"
2011,"SA","All ages","Police issued",13402,"unknown","unknown"
2011,"TAS","All ages","Police issued",3241,"unknown","unknown"
2011,"VIC","All ages","Police issued",52630,"unknown","unknown"
2011,"WA","All ages","Police issued",10485,"unknown","unknown"
2012,"ACT","All ages","Police issued",1722,"unknown","unknown"
2012,"NSW","All ages","Police issued",42900,"unknown","unknown"
2012,"NT","All ages","Police issued",722,"unknown","unknown"
2012,"QLD","All ages","Police issued",28548,"unknown","unknown"
2012,"SA","All ages","Police issued",11623,"unknown","unknown"
2012,"TAS","All ages","Police issued",2141,"unknown","unknown"
2012,"VIC","All ages","Police issued",61497,"unknown","unknown"
2012,"WA","All ages","Police issued",17822,"unknown","unknown"
2013,"ACT","All ages","Police issued",1356,"unknown","unknown"
2013,"NSW","All ages","Police issued",33514,"unknown","unknown"
2013,"NT","All ages","Police issued",1058,"unknown","unknown"
2013,"QLD","All ages","Police issued",27998,"unknown","unknown"
2013,"SA","All ages","Police issued",12560,"unknown","unknown"
2013,"TAS","All ages","Police issued",2914,"unknown","unknown"
2013,"VIC","All ages","Police issued",52452,"unknown","unknown"
2013,"WA","All ages","Police issued",14563,"unknown","unknown"
2014,"ACT","All ages","Police issued",1115,"unknown","unknown"
2014,"NSW","All ages","Police issued",34952,"unknown","unknown"
2014,"NT","All ages","Police issued",517,"unknown","unknown"
2014,"QLD","All ages","Police issued",25068,"unknown","unknown"
2014,"SA","All ages","Police issued",11886,"unknown","unknown"
2014,"TAS","All ages","Police issued",3256,"unknown","unknown"
2014,"VIC","All ages","Police issued",41448,"unknown","unknown"
2014,"WA","All ages","Police issued",14377,"unknown","unknown"
2015,"ACT","All ages","Police issued",873,"unknown","unknown"
2015,"NSW","All ages","Police issued",37989,"unknown","unknown"
2015,"NT","All ages","Police issued",492,"unknown","unknown"
2015,"QLD","All ages","Police issued",23048,"unknown","unknown"
2015,"SA","All ages","Police issued",12446,"unknown","unknown"
2015,"TAS","All ages","Police issued",3273,"unknown","unknown"
2015,"VIC","All ages","Police issued",33598,"unknown","unknown"
2015,"WA","All ages","Police issued",16666,"unknown","unknown"
2016,"ACT","All ages","Police issued",1120,"unknown","unknown"
2016,"NSW","All ages","Police issued",38918,"unknown","unknown"
2016,"NT","All ages","Police issued",535,"unknown","unknown"
2016,"QLD","All ages","Police issued",17213,"unknown","unknown"
2016,"SA","All ages","Police issued",11153,"unknown","unknown"
2016,"TAS","All ages","Police issued",3191,"unknown","unknown"
2016,"VIC","All ages","Police issued",27925,"unknown","unknown"
2016,"WA","All ages","Police issued",14926,"unknown","unknown"
2017,"ACT","All ages","Police issued",1299,"unknown","unknown"
2017,"NSW","All ages","Police issued",41020,"unknown","unknown"
2017,"NT","All ages","Police issued",546,"unknown","unknown"
2017,"QLD","All ages","Police issued",15043,"unknown","unknown"
2017,"SA","All ages","Police issued",11252,"unknown","unknown"
2017,"TAS","All ages","Police issued",2738,"unknown","unknown"
2017,"VIC","All ages","Police issued",29293,"unknown","unknown"
2017,"WA","All ages","Police issued",16718,"unknown","unknown"
2018,"ACT","All ages","Police issued",1399,"unknown","unknown"
2018,"NSW","All ages","Police issued",37653,"unknown","unknown"
2018,"NT","All ages","Police issued",861,"unknown","unknown"
2018,"QLD","All ages","Police issued",12828,"unknown","unknown"
2018,"SA","All ages","Police issued",8471,"unknown","unknown"
2018,"TAS","All ages","Police issued",2614,"unknown","unknown"
2018,"VIC","All ages","Police issued",32458,"unknown","unknown"
2018,"WA","All ages","Police issued",17697,"unknown","unknown"
