"YEAR","JURISDICTION","AGE_GROUP","DETECTION_METHOD","ARRESTS","CHARGES","Sum(FINES)"
2008,"ACT","All ages","Police issued","unknown","unknown",2060
2008,"NSW","All ages","Police issued","unknown","unknown",40882
2008,"NT","All ages","Police issued","unknown","unknown",671
2008,"QLD","All ages","Police issued","unknown","unknown",28499
2008,"SA","All ages","Police issued","unknown","unknown",11411
2008,"TAS","All ages","Police issued","unknown","unknown",6780
2008,"VIC","All ages","Police issued","unknown","unknown",49739
2008,"WA","All ages","Police issued","unknown","unknown",15957
2009,"ACT","All ages","Police issued","unknown","unknown",1890
2009,"NSW","All ages","Police issued","unknown","unknown",41167
2009,"NT","All ages","Police issued","unknown","unknown",1106
2009,"QLD","All ages","Police issued","unknown","unknown",33352
2009,"SA","All ages","Police issued","unknown","unknown",14167
2009,"TAS","All ages","Police issued","unknown","unknown",5665
2009,"VIC","All ages","Police issued","unknown","unknown",53101
2009,"WA","All ages","Police issued","unknown","unknown",14804
2010,"ACT","All ages","Police issued","unknown","unknown",2407
2010,"NSW","All ages","Police issued","unknown","unknown",51104
2010,"NT","All ages","Police issued","unknown","unknown",998
2010,"QLD","All ages","Police issued","unknown","unknown",33013
2010,"SA","All ages","Police issued","unknown","unknown",14139
2010,"TAS","All ages","Police issued","unknown","unknown",3735
2010,"VIC","All ages","Police issued","unknown","unknown",54728
2010,"WA","All ages","Police issued","unknown","unknown",11705
2011,"ACT","All ages","Police issued","unknown","unknown",2284
2011,"NSW","All ages","Police issued","unknown","unknown",46714
2011,"NT","All ages","Police issued","unknown","unknown",729
2011,"QLD","All ages","Police issued","unknown","unknown",30389
2011,"SA","All ages","Police issued","unknown","unknown",13402
2011,"TAS","All ages","Police issued","unknown","unknown",3241
2011,"VIC","All ages","Police issued","unknown","unknown",52630
2011,"WA","All ages","Police issued","unknown","unknown",10485
2012,"ACT","All ages","Police issued","unknown","unknown",1722
2012,"NSW","All ages","Police issued","unknown","unknown",42900
2012,"NT","All ages","Police issued","unknown","unknown",722
2012,"QLD","All ages","Police issued","unknown","unknown",28548
2012,"SA","All ages","Police issued","unknown","unknown",11623
2012,"TAS","All ages","Police issued","unknown","unknown",2141
2012,"VIC","All ages","Police issued","unknown","unknown",61497
2012,"WA","All ages","Police issued","unknown","unknown",17822
2013,"ACT","All ages","Police issued","unknown","unknown",1356
2013,"NSW","All ages","Police issued","unknown","unknown",33514
2013,"NT","All ages","Police issued","unknown","unknown",1058
2013,"QLD","All ages","Police issued","unknown","unknown",27998
2013,"SA","All ages","Police issued","unknown","unknown",12560
2013,"TAS","All ages","Police issued","unknown","unknown",2914
2013,"VIC","All ages","Police issued","unknown","unknown",52452
2013,"WA","All ages","Police issued","unknown","unknown",14563
2014,"ACT","All ages","Police issued","unknown","unknown",1115
2014,"NSW","All ages","Police issued","unknown","unknown",34952
2014,"NT","All ages","Police issued","unknown","unknown",517
2014,"QLD","All ages","Police issued","unknown","unknown",25068
2014,"SA","All ages","Police issued","unknown","unknown",11886
2014,"TAS","All ages","Police issued","unknown","unknown",3256
2014,"VIC","All ages","Police issued","unknown","unknown",41448
2014,"WA","All ages","Police issued","unknown","unknown",14377
2015,"ACT","All ages","Police issued","unknown","unknown",873
2015,"NSW","All ages","Police issued","unknown","unknown",37989
2015,"NT","All ages","Police issued","unknown","unknown",492
2015,"QLD","All ages","Police issued","unknown","unknown",23048
2015,"SA","All ages","Police issued","unknown","unknown",12446
2015,"TAS","All ages","Police issued","unknown","unknown",3273
2015,"VIC","All ages","Police issued","unknown","unknown",33598
2015,"WA","All ages","Police issued","unknown","unknown",16666
2016,"ACT","All ages","Police issued","unknown","unknown",1120
2016,"NSW","All ages","Police issued","unknown","unknown",38918
2016,"NT","All ages","Police issued","unknown","unknown",535
2016,"QLD","All ages","Police issued","unknown","unknown",17213
2016,"SA","All ages","Police issued","unknown","unknown",11153
2016,"TAS","All ages","Police issued","unknown","unknown",3191
2016,"VIC","All ages","Police issued","unknown","unknown",27925
2016,"WA","All ages","Police issued","unknown","unknown",14926
2017,"ACT","All ages","Police issued","unknown","unknown",1299
2017,"NSW","All ages","Police issued","unknown","unknown",41020
2017,"NT","All ages","Police issued","unknown","unknown",546
2017,"QLD","All ages","Police issued","unknown","unknown",15043
2017,"SA","All ages","Police issued","unknown","unknown",11252
2017,"TAS","All ages","Police issued","unknown","unknown",2738
2017,"VIC","All ages","Police issued","unknown","unknown",29293
2017,"WA","All ages","Police issued","unknown","unknown",16718
2018,"ACT","All ages","Police issued","unknown","unknown",1399
2018,"NSW","All ages","Police issued","unknown","unknown",37653
2018,"NT","All ages","Police issued","unknown","unknown",861
2018,"QLD","All ages","Police issued","unknown","unknown",12828
2018,"SA","All ages","Police issued","unknown","unknown",8471
2018,"TAS","All ages","Police issued","unknown","unknown",2614
2018,"VIC","All ages","Police issued","unknown","unknown",32458
